symbol,scheme_mentions,avg_scheme_sentiment,policy_benefit_score,matched_categories,top_links,benefit_bucket
ACMESOLAR,5,0.30402,12.492799999999999,"capex_infra, energy_transition",https://news.google.com/articles/CBMi4gFBVV95cUxNWEl0bjhiY3RMRzlJRnVYQlUwdDRjVDNUZ3JiMllrem13QWVmWEM3ak0wWUJ3SE9ublBUNTFiZlFONW0yUThONHI3eGxnZnBrYW42Y19RT1dPc3o3VzNWSTltS3RpcTY1d2c2dHFMaWVPMlhQQW15R0NwUTk0OGVmNnJPUzZKYVA0aWlRUEJkXzFac3pVZFctZzk4QWhLU2pSVHZDX1hweGVrWHVnQjZTbE02X2h4N2w0cHBIRUFCOUhpa3U0ajlrZFk1b2dQVjdweUt2ZC1uSHhMdGFVLUNQLXdn?oc=5 | https://news.google.com/articles/CBMi1wFBVV95cUxPQUg5bEFoTmI5YU5GVTZENFJXLU05YU13NEJSLUpzTUlhSEdXdW13c2lqZ1VjUEhpb0hZcmZNclhYMERia1ZBdWFVaVVhOWRkNVZxZGVacDlIbU5hSC1qekRsQ3Q2YTZmaHc1QkZLRHBiSzFqRG1PaVlmTHV6NEhIa090cmg1TUVtWHR6aldKX0hsZThiRE1BNHVLNUdPNmpwNnJpeVhHNzJ3RXBhSzZ1ZXdzU0VTY0VuZWNMeHVOM2tQZ2h4ZTd6QW1ENTVrY0VudHFxMUNWRQ?oc=5 | https://news.google.com/articles/CBMimwFBVV95cUxOVzMxcy0wZWtzMVNwc0NweEdIRG9nUjh0RW9NYTR4NVhJZWNuYW1Da1hyTWFWbjdtRTV0MUtjWHhxaWVldHA0TmtObXBXRDB2YzdPTmlRdGdvOUFHN2hZUWpYako3M09DWHhzWTdxa1lPbXl3aVpPcHpDX0hxVkRvNVB1ek5INVpxOXVEVzE0OHJtS2FQUndoS2dxMA?oc=5,High Policy Benefit
APOLLO,4,0.40847500000000003,11.3598,"capex_infra, defence, energy_transition",https://news.google.com/articles/CBMizAFBVV95cUxPQXBQX19rRnprVHZQSXVyZzNkS0hNbjUxZlB2QVJJUndFdHR1OGhTQzlvUXhRWmdqZUd4QzZlMmxra3RmczI0MG84MWpXM0NTdkJENjJia1dlVzE0WXRhemJONVo1QnZ0a1ZSdXpBd1MzTUFGUUF1QnpvSXQyV2Q4eDhqVWI2aHFrVUh2eW0yaFJwTG1KQzFiTzA5UGU4VHp2SmI5YmxoakxTX2pwcms1cHBwRmgxa01xRTF0Z3NDbmJ2RmxIamVyTlJXUFk?oc=5 | https://news.google.com/articles/CBMi1gFBVV95cUxPSl9YdzAxd1A0MWVqRkhoakRiM0Z0UXR0X0M3YTRPRUszOVVLYTJCUG1TNVBLamFvSEZuN2hBUEFqVk5XZ0FZVVJ3MnZLME1ISXY2NDJndVpqTGpwUV9uOFBkWjhIS2d1NEFKQUZtejhnMU1XMmRYenBSREhUYmc5VVg4TDF0bFBtZVV0OTFQeE9oMDQzWHRIVGNOaUR5VjFnNUZFUnFodWRMN2tnR1FCT2Q1SDBVRFJrUDJad2UyNE8xcnE2Qm5RWmhmR29KZnhqeUt4T3ln?oc=5 | https://news.google.com/articles/CBMi7gFBVV95cUxPU0ZrMTk2bld6S0FZYmcyS0UxelBwQXhpSTROeldUekJWa21vcURldmJJR3JrU25TcC0tbEVZTzJ2YXNVMjM2Wk0zclFraGE1bjl1THNkTHpJUEZIU3ZBMmVRZVRIMVlTXzJUR1prWWdmb0pGZk9SbkZHeDlYY3dZRlJQZTJhQ1l3U1k3bTYwWDU3Vm5jRXZYcEZGaHRxWWh5THhzRHh2Mk5jU3pEZDlSejFfSTVBU0RRMHlLcDJjLThEaWt3Vk0yOU5KLVNqUzladTZYZ1FsZ3M4NWZCRTc4MjhaWGtHNWI1QXRnbUJR?oc=5,Potential Beneficiary
ASTERDM,5,0.03180000000000001,10.1988,"energy_transition, healthcare_pharma",https://news.google.com/articles/CBMi4AFBVV95cUxNYkp6c0s2ZXlLZ0xfQ1AtSVVJVEZqeDIzQlN1MUFseG9uS0RSbGwyYk5JZU1mNWI5dVlrY2JTV2JOWUVEMUdtTkNGLXg2YjQyQ3Ztajd5dmJTS3Q4QkJVZXpiUEhRakhTbWZqV1pndk5MQWgzczA1N2FnY0FVTVhqVThESFJFRU56c0dRV2d4VVZvNS1sOHpPTVZMMHgwLUI5QnBnbHRTd1I3NEF6OS1lblBJNUR5YUdfZmVZb1E4VXZmN3M5VTdkTW9ITjY0bk5LU1hfWFdMWGc0Qmc3cUswMg?oc=5 | https://news.google.com/articles/CBMi4AFBVV95cUxNRm5tUmxoR0VMaXU1S1RUN0lyV3lRaTlub2JfR2psbVdHMm1hS1lCdmhYN2QzTU95czJQcEhtYVE3M1JJendfY0J1U0JxUlpRTFNQeWJHbDdvN2R5U1A3a2FpYzFaY05qR2JYeDY3UlROYzdZeVZmcWY4aERpWmprOUthdXhuZHoteFc0dThEQjdCZnlOcnBhWm1ob2V2NExxM2ZVaXc0aHRpTEl2TExXdW5wRnVOdURDVFhmcUtEeFhFUHVlbldyNG5mYnFMWE81czVrbUJWQU9RWGhuQUlPdw?oc=5 | https://news.google.com/articles/CBMi7gFBVV95cUxOTk15TmZGdmhIR0tFU2Vya0ZkVk9xQmpVTnVOZWRoV3M5RTNNX0JEaTJaZ2s5SWhuZ1VUd2ZzV1I4cDhUUXpLQ0dKck1BSGVpYzlsMC15REtCQlBVNUVPeE5qZTVOb2tPc0l4akt6N1VpQ1ZWRGluLXptZ2NIdWQxR2lTYlFXOVZySkNqOTNZWGVrWEtVOHZOSTlFWUUya3ZRUXRHODFGczF6cHpVM2d0RWZ2WHdJOWJLWERyaXZ4a3EwLU9nazNGOGlxR25mc1ktejRYQXdKTzdZT2ZITTQ4T2lWdGxEcjVjTDZZS0V3?oc=5,High Policy Benefit
ACE,4,0.146025,10.168199999999999,"agri_rural, capex_infra, manufacturing_pli",https://news.google.com/articles/CBMi7AFBVV95cUxQN3Z0ZlRSNW5JaTJpaTBlM1V3SlUxZWxqdWtST1pTd2RuZ29maFlSTm9RNkROUzNiSm1oNXVXQS1yaC1WcEl3UmpvRnhhdlBOM09mN2ZlalZxVDhrb0t3Wi1LbXpzOXF2SFBJVmFhU2RXbEx6THF0eFA5QjdkLWl4dTBqeVhSeDVVRmExNDNJR2IyODhtNFBOR2JBSHNIWTIySXZISmY0M2VubFVNREhVZnFobHBhZVZ3eE5jR291S1dCcGVmaXVxS0RZZktLRUp1Y2lpbDJ2SEJiQkYxN2kwQXBic3p3T1pLTXFCVw?oc=5 | https://news.google.com/articles/CBMizAFBVV95cUxPbVpBOUh5SzBXdEpyTjVPcjNjUVlybFlfSDFTR05wZS1YMm1Na3ZvcmhBeTBQS0NJSW1nYVVyRFVkSmsxZzNoUzlzMnh2Q1AtS1YwUl9kY182ejNydEZIdlQ2TGhIaTEyOHdCYzBHQ0VFbzYtOHlITzk4aTY4Z0NneXZBV3JPX3pwaWhKUnU3LUdwNGxRS0R0TXM5RlgyNkI3a19ZVWhVTi1VN2Q1UW9DQjFCaHNsWENMZmxmYWplNWZCelVNVmdKYndCbHQ?oc=5 | https://news.google.com/articles/CBMihAJBVV95cUxNRWJxMk1heHlmS3h4TVZ2RVhXZTBibTBseTRDR0h3QmZ6RjFQcnMtYkZtR3MzSVYtZTBOSmZoQ0t1elAzM0NXS0VFdFdkMWpQdTJTYXBpZjhXYnRpOS02ZGhfRTN1elNrM1V0bTlLanRSNDRkRUNtMjJzT25OclN5XzVDb2VGYUVIX1BTaTdlWkFOYV9ocWZBWWZaZUFPTmZLTjE0NjVQNS1nXy1Sem9TYVZEQVdVdk1rYl92TVR0QU1iQWhPdlM1d3dlMUJ1c2tYczFOMDVYSHU2cVQ1MlN4U09taHR5R1lWUDItODZGZVlpWXpaa3RaM2FoTGp5QzNXVlE4ZA?oc=5,Potential Beneficiary
AFCONS,5,0.10239999999999998,9.4774,capex_infra,https://news.google.com/articles/CBMi5gFBVV95cUxPV2Qwa2ZNbUdBbmJSYmktc1cxOUZRVXFsbWhwNnZoVlgyY1dlb2hkVTR3cFlEdTFnaFVoU1ltblF2SHFNd0ZJa2pDb1R4bkc0ZGhNRjBkQVcwY3MwOUdyclc0YmxRQWhJUGVHSWd2UzVuanViajRXLXJpY1BmbnJZSzRYb3pnRi1LbzlyTlNiNlFmZ0J6bE1MTmVYallJdWFDdkdwbzJncnJkeWp1S2FYUG5vZUdwNU1aVkJXaGdJSmlaYjNKcmtnMHA0NS1PaFFXdlIzOHhER1VtZzMzNkliLThpeU1jUQ?oc=5 | https://news.google.com/articles/CBMi9AFBVV95cUxNV2pBRjJCcTljbWlJVHZiSEUwR1JqSUw5TW9WUjBlT3pCazVQZWl2QjV4OV81dXpFMngzYThnRWlXOFVhRS1Ga1luQ1RjQnpOejR4MXdLbkpnZ1VrOWNKZFJUXzZzTGRMTG84Z2pIYmRnUGdHUjJWMDN2UEVMOThERGUzaVR0ZGdzVk1kSkVocndfT1VYUHdjSG9GVEV4aXEyZGo0by1IR05jeUxCTmxaY2REUHl4MU5QUjBieXdhVC1Lclc1SzdaSkFWUzlEbFdsYmN4LXlqZkFFZVJ4OEU0MDFuTE5naEtjY0FPcDFlZUwtQ2Z6?oc=5 | https://news.google.com/articles/CBMi5wFBVV95cUxNRE9aWVk5LU5SWVE3clFMSWZxb3hoY3hXZ2ZObWZ1bVo5ZFVpdVFGMVZfeDgwWE1BVm1OWk9sdTVyMHdRZlpSd1pvcFlfaXhxbzNrOThaZndTNEZKVjgtMW5MUmpDbjBNOV9UVE9qa05INVp5ZjlQSGpTaDIxNk5pcUU2aTdoUHBIWkNTVHJ6RVFQeGh1ZzAzblhKekRSc2luM05BVTBhYVdOaDNpcFZTdk5JaUtzdTVmRnVUY3BnSXNQVnR5NlZXdU52c1FRb1BrdFlZMjlBWW5xSnJyMXVRQnBuamZYTzg?oc=5,High Policy Benefit
AWL,4,-0.19215000000000002,9.0,"agri_rural, energy_transition, manufacturing_pli",https://news.google.com/articles/CBMi1AFBVV95cUxQMktqT1JRSmVycFZGaFRYWXZDcUw1cFdGRHA3ajBVc1hONEp3RU5qN1poaFRCM3d2cWF4UjdRdWJLSGZjaElpSU5kN2tndEZzdVNEcEhxTkdyaHFqeDBOcHJfS0ZwdVgzQXVMZS1sYWxUdTJIYldabHIxLWxyWXI2Q1ljUG1JNUZjMlVyemVXZ2d6UWlza1U5Y0FCOXpsNnVpMWdiODBtYzExNWFMcTVIVEVhOExROUlteGkzNmhpRDNWMkYtTWtXVF95NENwb1VSb0hrOQ?oc=5 | https://news.google.com/articles/CBMi3wFBVV95cUxOUl9ib0JFdXVxaWp3YjYxWkFzLVM5NHVMcG9XQ3Jfa2VGVG9pU182RzF4T0hERlN4SXdYdndndlBwcDZ4U3Y2a2Q5Y3l0d1VDWjVmSnZxTDVzdXNCYmRkSFNWaHByeXd5cHA4NldfZ1MzdU9PZktwTFpvX0p5SXpTZmhaTU5jZHZRVDZtdi1xOE11dmYtMENlMEFuZ25DaGg0Szd2d2JpSmhXVFVxU2xpWDBISk1zaXpwalo5amEzU1o2M25pV2ljNE9oc2U4aGx0RjAzZnF4Z0RiUnA0RjNJ?oc=5 | https://news.google.com/articles/CBMi5wFBVV95cUxQcjJvcUY3cXpOcVJtMHhfNldscld2bWRhSWF1akVROFpkYmNLUzRCcXdmRFU3U3JUYjhBX0puM0c2ZU1nSWdkMXlyXzBTNFlJUTZUcjQwd3Rqa2xldkJ0ckRMYzY5ek5QaG13YngyRm8xcjZlQ0w0eVZxOVpXMk1rR3lSQkhZanZsNVNTYnQyelBDR0xDMzRsVlJKYzAwNEdUQ0tqZnBJYnVxTllJLTlMMDVmWVlMRTJBaG9OZ0FhalJEQWxHLTZQeVRFQXV6a21Pc2hqdmk2enFBZXR6aHdpT3VSMThZQTg?oc=5,Potential Beneficiary
ARIS,5,0.1372,8.9752,capex_infra,https://news.google.com/articles/CBMi5wFBVV95cUxPT2s5alV3RlhMbVNUa3gweVd0YU1Jam9HVTU3eldKc2s2aGZjcVNEdFJCMmVUVW1pSDh4ZThsR2ZzNDJGcEZuQnNsZkFPWGJlTnE3U1RZeWR4bFJXM2pWUW9rWmxGbnlBc2gtb2p0NWEtaUdTSVFsQ3FvNzJhWEtjajU3UjM3VTdBMUlkUFoxdTd2QjUxdHBERmVSYVgtUlFRdTIxS0lTVWhReWlLN0dpa2hxR3pENURyQW5HUzliMnc5cUppOUY0LU1JZkFlMUxncEtMYzNRYXVsN3RDaUJkZlhsOXMtUEk?oc=5 | https://news.google.com/articles/CBMi6AFBVV95cUxORG4zazBXV2lkdU9yZnRqX3ZGREZOd0paZzN1N0doNzRNMVgyY1JhLXc4NVBiYWtreGdBeEtrLU9TVHNfMGVVa3BKYUhKRXVzU0ZvSUtkWHdpUDhGQno2VzRyRDlYbTNzWDUtM1d2eVpSTmZwVE9adThkYXpyTE15bHdIZ3d4Si1IZG5qRWswMVEwM1JLeUdNTDk1aWF3aUNRR0lnTVB3NjhzbFhXWXpoMHRJajc4MlJEZGM3UEdKU1FVd1hPQTB6U1VUbmwyY3RhblZEQjFHS1F0Q29WWVNzVXVDLWdxR1NR?oc=5 | https://news.google.com/articles/CBMi8wFBVV95cUxNWENTTFdBZndkbDZ4elNzaFNSbnBQRkJDVWFJQ1VPOGh6MXRBX1I3WHRuQ0I5eHVKLUlsYTlvajZROTJzejJQRmpfTG82OTNPMHlwLUZuR0xabm9WQnF1OV9pZnRFRzl3UE5keXpIZXhQel80cWlzYTJWd01RalJGVXhlSTN1Snk5NWxaMGM3c1J2aXRvdmNlLTl0VW8xTlZMbW05b29uM0RESFpyVjFiQ2xhRVF2THQ1TnI3ZmoxTVRib2w0SC1JQzN5UG1Da3BCQ2RyYlV4elJWekhoVDFGNTZmdE91MjFmNjFub3VCTDB6TnM?oc=5,High Policy Benefit
ARSSBL,4,-0.20387499999999997,8.9192,"banking_credit, capex_infra, energy_transition",https://news.google.com/articles/CBMi7wFBVV95cUxPOWp3X1BUNHdmS25xWWd6bGxwd1lNOGRZb1duTlpWZnBZb05iY2I1SFNzbmYxT0xEd1JMTWlaUlFHajRwSzUwdXBFZC1qZHdwUmZkeDRuN0dfVzZIWElLN0wyc01OXzJwVHlBeVRnR29KbExEVEg2UjdETHU3d1A0OW16d1p6bDJMT0Nlb2l5M1RyRDNKSUQyZTFKV3gtZGZjMWpjY09JMWIybzZXaGRtUXdYdEVxcXZjaEQyTEF3TzBnZGFzNlktNlBRVWFHdXNLdUIyLTFoWHZVRkFhZnhPMWJDUUtSLUIyQ19nSXpHWdIB9AFBVV95cUxPMEtBUFlJVF8tclJYOW5jUWV3Q1pvSlZSSnhrQ1c3N1dPb1lCcGhQdXE0OERPeVFqUTZpQzJtQXBwVi1uYl9fcFdyZEJzRmpKRVNxaVFEM09MQnZERTdoYzVvbVBvZWlRcktZY0psUVJOVjVzQXM5TWRqVkNqb21PZFZESVloUEM0ZnV2cTJTdGtRV3RONExzLVhiMnVaNGFwZ2RwR0huWkkyZzZHeENYYVlnRGZXVXotTWdSamhhYVZvQ2NJT2ZoLU1mdms1MkhUZ2pyTWRfenJyWWNndlhXaDNrNkZ1MTRWMlpvRk9QMHd3cGw0?oc=5 | https://news.google.com/articles/CBMizgJBVV95cUxNTWtjY3Rjbzc2VFpldWwwZnV0TVZRcDA0RllCblU4WEZTNDEzU1ZuZklKdFlsNWRNRFN3Q2paWjlnUDFBVXd4RU5MeVk0eVl5eThUWmZjZmU3WUExSU5uNnVqZDRPaWFsd1VKcXdIdFJnb1ZFSkRKUk1Oa3NYQ2h0NlpmM3RmWXRXYkdCa2xsX0c3OEZUaTJrWmRkSENpWUc2dDNFa1k3d1R1c2FrOEltUldKUldiTDlyY0hJRFU4UVpEWkFmRmlsZUs4Uk1tOEVWVzFkd0w2cDRqYXRWU3Mzd3hWcjRra3RITnRBQ1FvMGJIRjU1X3ZLRlJqUV9NQTZrZG9KZjZSUng1b1lzM1E1Z251M21sYU9BRVBoMHhGbThtZ2gxWHNmcm1aUzVFS19aMExtVE5UYkpSUXpwbFlLeGFPSDg0Qm05d1pjYmpB0gHTAkFVX3lxTE5NSXMtVzI5bG90LXlIQ2tBSzVTeDY4aGx1Nlk2Q3oyWEVZYUswU2MtWGVsaHZGYTFlZ2tmU0dpc3FtX2V5blBqWUxpLW9vcWdMT051TkhtUWFnS1N1Qmp3eThjZXV6dC1DY2djQ1Jnd3YxblJrcVJuc2VVenRxUFloQUgxV182eDJpSnZSTXV5eUVVQjlzRkFibkZUTFdTbDhCclRCcXpsd1JrdG1lbkREeEptQ3N1ZDE1QVlKTTZYd2N5eXA4TUlRcThoc29MX3dUeldybzZBbjN4RW51Z3RMNFhTMTRzUThHM19VSThnX0pNcDdTNkItZzRVMW0wNTlwUnFDYnNzYmVadkdzSG52bmNuMmoydThnTHQ1eFE5OWJINHVyT2tiNEFNUkhZR0hZNGZUMXVncXMxRHpHdl9YMnV3azVXWXkyTVdUd2VqWkg0MA?oc=5 | https://news.google.com/articles/CBMi8wFBVV95cUxNaGhkZFZkekJFcXFqU2t0LWpDMW12SGlBOGhHSmZxOExtTlVZSC16U21POWI3ZjdMN1diMHBfSUJNQnZwaTd4dmN6eTZBN0F0b3VnY1pudjdLcnFya3ZaMzBnNl84bC1fenpfZ3VReEMtTXhGaEtoU0dBS2FnM3ctRTN3aUJDTUtNQjJxdjVlY3k2OVdSV0wxZEVCanJqS2NMOUJDbk5HVmdROU9hN3JabU9KemxxYWZULUF3a1RvSGZUWVR1UUtCdWdOYXdkUFIxcHRMM3FHS2I4SzFoTFkwWWkxVE13ampvdnU0UGZ3SDZiM3PSAfgBQVVfeXFMUFl1SUJid0J1ekZ2bmdFYWJTT3dMemg1anQtcXgtTDJ5bkExR00yelFMOWktTmhaLU1SV0d6dGN2RTFaNGg0VVF3UDZXMFZER2ZUOXcycEFpb3lVa2xQVXZiYnhQdnFFSlFCVWgxVWJPYmh4NWEzaFdhVFB4VG1HRjBxREZULU00V2NUWFp3MnVPQmpjNEo1ZHhLSGRCeU8tWWdvcTRrb0I0Skk1OFpqa2xWWjk1Qk5meVR1ZU9oeklLdVlTbXYtUkQxeVIySm9QOFlFYkZUT2JtRWRjR0NQZkk3c0FmMU4xSm5ZMWZlUnkxNTMtTkxkQjk?oc=5,Potential Beneficiary
AARTIPHARM,5,0.054759999999999996,8.684000000000001,healthcare_pharma,https://news.google.com/articles/CBMi8AFBVV95cUxQbU9EUDBaNERBMXFXS3dsYjY4V0tZN3U1UUpwWXpITjJMZmpxVS1WN2xRMzlmQWpTQW5QS2d2bFFhQW0zTjR0RV9qdGpEZl9XYVdnanZNc2tUanpRQ002SkhOZHlnS0I4U3hkZ0g5NS1LTkgwWERLMllQc0VGckFsTkg2QUlOTnA0SVBaTmlpbjlSRjBudTB2RTJsNEJMcWlXUHN0RldqTDhiUHJvQ3hhTEQzOExKVHptQ3ExLTFxNElMbHYtSDJyX2RQblJiTDBjYTJqM3E2b0xBdG5rQU4tLW16RkhHMEExdmtfNjlnd0s?oc=5 | https://news.google.com/articles/CBMikgFBVV95cUxOdXpQNXBlNVZLdFA0MjBFZE5yVnRPdUJmWDY2VFJYVlluWDBjYTBhRnl3eUV4d1gtR0Z0MVZyc1JXQ1FJbkRHY0FkSVN3STRFb2tRNG9meHVqa3hwWUNDdEowWS0yUElFZjJuZ2R3Nkl4RVRkQkctN2stLTBMdlRVY2FIYkU5MUEzVmduRlRacnBoUQ?oc=5 | https://news.google.com/articles/CBMi3AFBVV95cUxOVE1XbFAtTFpQdlhOS0I1bmdDMUkxSFdoeW5aTlNRcGkteE8xblRDS01PTm8zTlR1Y2xzZXBzdzlGV1FoNGFUY3Q3aDJBak94LUh2Z3VlOHU5ZFI1LWxoY0xuVlBERTN4QXh3UGpqblU3U2ZlWE9qVG9LTnpNQUlucERKemJDeTdPS3FaOEJ4TlhFV0VZLVRDWTJqS1NEenFHODhWLVo4d3BoamktVW1nZWloWVlldDF2MkRtcTkzNGhKbXlLVFdkQURWR0pMd3VndDRwdzFDdXRhcW1n?oc=5,High Policy Benefit
AUROPHARMA,4,0.04027499999999999,8.544599999999999,"capex_infra, healthcare_pharma",https://news.google.com/articles/CBMi8gFBVV95cUxPNFlpdlRIUkJtQllxeHBOMHN4N05FaHVxbEhWbVNlbHM0c2h1UFlaZlBzQWc4cTZzc0RMLWtXUmFpU1FpQ2Y0ZjEyZEs0MlVRUEJjNTZ1TDFxQXZtT0Nzb1FtaHdheTIwQzdWTmRjQW5UM2ZSdHQyVVVjOUFQOS1iRG15TURoU1B5TVBBc19hVjM4emMwemdmUVFfb0s0bUY4ZE1lVVpPN1BBX2pweXhVLXM5QU1HS3Z5YUxMYjg2elRub0ZQMUM1ZDJfREJfM0c1QnZSVlhsa2ZoOTFzRkJ3TXV2VUd6a3RsTks5RVFsT3VBdw?oc=5 | https://news.google.com/articles/CBMi1AFBVV95cUxPNEVFY3Bxd1FYX0t2MHBGOXIzTy1GUC13MS03QzRqU3E4V0lRdXkyZlFWNmhtMFdGanlXQ3NZTHBUU3RhaWJHbEJKMnAtNW4zbGJjVWVhd09YSDlUQnNrbG9uQWpWZGsyMlJJdlNscHMxMjFUUmNhSi10a0NCRDdfYVV2RGF6TzhWaDZfWUpYNTFYYko1dk54czZ3NkpfRERqTV9HUEZ1MUJvTnNtOENielVjTHZGMnBjR0wwY2ZMQm5BTXFZY29zalJEZDdraFN2VWNvMQ?oc=5 | https://news.google.com/articles/CBMi9AFBVV95cUxPTXExcG9NcEM3d1RtMmhMWC1fNWhMdkhvbWlaS0V6bzZ4M1Yyclp0cnh4ek1GYWtzaUVHUFdKRWEyWkRzaTROQzhLeFVMbkdUUTVYZWUwa2hhWHRrY1JGVk5SbjhVTFRNdk5uaV9tMTZ6UlFtU0wzVmZlcmRDRXVNVEVSV2ZfQk16ZlpiMV82Q3I5ZWhSZXc1NXdHNHo1d2czWG45M3J3T3pNVjN0UjlWZVcyaWtCdUtaNTNvZDkzQTMxRlVOS3pPeFJ5WUFBclluSkc5SVNfVkxWTDBaU05jUDdrc2gxWnZkdWF2ZU8tLVRBZlpq?oc=5,Potential Beneficiary
APLLTD,4,-0.02372500000000001,8.2636,"energy_transition, healthcare_pharma",https://news.google.com/articles/CBMi-AFBVV95cUxNNnVrYklULWk4YlVOSm9XbVVfV3BPdDdadDdTOFdLZHB5TUxWVFZ3dENXUXF4dDJ2NnY2VlU1d1JablQxOGRvMHdORFY4Ti05aXpuRW55d1VIUHdfLWpDU0ZYcVhMM0lLWmFWZjdpQk9pMmtuTjNuZXNwYjM3bDNmWmc2MGhuMGNmQnliVHZGVzY3YjBOc2c3d0F5VzlrODdZUi1CZW1RdXF1eXhuRjBrcW85MXM2bENYcFJGM2c1RjVDN0pfVjQ4UTI4dHozR2FYamxXem9DQm92UzBDZmZJeDNCWGpfamlJTHRIU3NHWXY5d2ZsSmVoVw?oc=5 | https://news.google.com/articles/CBMi1gFBVV95cUxOeTFkWldwN1owY2U4cS12VVdaQTdROTU3RU9aSzczV2JpWkMyRFBpd2ZUVnpTMnlUOFZkV1RiNUx2N2VJMXRfWmRaM01NYzdrci1zb1pyM2thSXdkVERfQ0dZMk9jVkFJekNWbVRtY19VUmwwSlJ4UXdtT3diWVBHclJxSjFXUTBmdXpCYkJUSUFWT0EyczYwUmhvWjN5YnhMdVJvV1FLREQ1TGJDWGFzNlAzR1JKNUcwc25CbVU3ekVubnJsMi1IRTZXOGJDaklwTFp5clZ3?oc=5 | https://news.google.com/articles/CBMixgFBVV95cUxPb2lSSWN5b0dGS0RsSXNOcXQwNEZieUc2SGMxRjdqcVBHRk1MVGw2WmNZTzJZTnRjb0M2QWFTU0psNHp2NlhfM0NDa0hDNW1IWkhiOFdJclFtajd6ckwzc2FLVGJfbHFLWWtPUlFyc1ZqbnBqQ2VpNHNPUG01WTRWd21iYnA3ZlliSXlrOGNOdW0yVmpZQW1fTndPb2U0clI2cTZ1VFRYM2xyR1dfaGRkcVFWbEtTNWdEUDdpWWc0MUxNU3JZQUE?oc=5,Potential Beneficiary
